time,Description,cycle_state,I_R01_Gripper_Load,I_R01_Gripper_Pot,I_R02_Gripper_Load,I_R02_Gripper_Pot,I_R03_Gripper_Load,I_R03_Gripper_Pot
2023-12-11T19:59:56.545Z,"NoNose,NoBody2",1,281,11239,1321,11718,1395,2424
2023-12-11T19:59:56.637Z,"NoNose,NoBody2",1,461,11197,1317,11668,1364,2399
2023-12-11T19:59:56.755Z,"NoNose,NoBody2",1,437,11188,1310,11717,1359,2391
2023-12-11T19:59:57.014Z,"NoNose,NoBody2",1,405,11219,1300,11664,1375,2397
2023-12-11T19:59:57.015Z,"NoNose,NoBody2",1,429,11167,1305,11644,1376,2399
2023-12-11T19:59:57.212Z,"NoNose,NoBody2",1,481,11251,1334,11727,1379,2402
2023-12-11T19:59:57.213Z,"NoNose,NoBody2",1,480,11229,1311,11702,1375,2402
2023-12-11T19:59:57.240Z,"NoNose,NoBody2",1,443,11205,1332,11681,1363,2387
2023-12-11T19:59:57.343Z,"NoNose,NoBody2",1,458,11233,1313,11695,1358,2388
2023-12-11T19:59:57.454Z,"NoNose,NoBody2",1,438,11297,1297,11706,1355,2385
2023-12-11T19:59:57.549Z,"NoNose,NoBody2",1,423,11163,1306,11638,1374,2396
2023-12-11T19:59:57.660Z,"NoNose,NoBody2",1,456,11244,1313,11708,1358,2388
2023-12-11T19:59:57.753Z,"NoNose,NoBody2",1,460,11221,1280,11688,1386,2415
2023-12-11T19:59:57.858Z,"NoNose,NoBody2",1,436,11291,1331,11718,1378,2403
2023-12-11T19:59:57.957Z,"NoNose,NoBody2",1,465,11213,1310,11674,1380,2399
2023-12-11T19:59:58.198Z,"NoNose,NoBody2",1,445,11257,1308,11730,1380,2404
2023-12-11T19:59:58.199Z,"NoNose,NoBody2",1,484,11260,1304,11742,1357,2386
2023-12-11T19:59:58.251Z,"NoNose,NoBody2",1,397,11228,1285,11709,1370,2408
2023-12-11T19:59:58.343Z,"NoNose,NoBody2",1,444,11254,1327,11725,1379,2410
2023-12-11T19:59:58.444Z,"NoNose,NoBody2",1,416,11264,1317,11736,1367,2393
2023-12-11T19:59:58.547Z,"NoNose,NoBody2",1,454,11215,1303,11686,1373,2394
2023-12-11T19:59:58.636Z,"NoNose,NoBody2",1,471,11280,1303,11744,1387,2400
2023-12-11T19:59:58.742Z,"NoNose,NoBody2",1,439,11262,1301,11738,1339,2380
2023-12-11T19:59:58.873Z,"NoNose,NoBody2",1,443,11243,1314,11718,1384,2412
2023-12-11T19:59:58.962Z,"NoNose,NoBody2",1,370,11460,1294,11701,1373,2408
2023-12-11T19:59:59.223Z,"NoNose,NoBody2",1,482,11283,1327,11759,1361,2389
2023-12-11T19:59:59.225Z,"NoNose,NoBody2",1,451,11176,1318,11651,1384,2411
2023-12-11T19:59:59.238Z,"NoNose,NoBody2",1,435,11183,1305,11659,1380,2405
2023-12-11T19:59:59.349Z,"NoNose,NoBody2",1,456,11194,1313,11676,1363,2401
2023-12-11T19:59:59.460Z,"NoNose,NoBody2",1,447,11245,1286,11707,1365,2408
2023-12-11T19:59:59.551Z,"NoNose,NoBody2",1,462,11195,1297,11663,1363,2393
2023-12-11T19:59:59.645Z,"NoNose,NoBody2",1,440,11254,1314,11729,1375,2409
2023-12-11T19:59:59.753Z,"NoNose,NoBody2",1,462,11242,1314,11704,1365,2399
2023-12-11T19:59:59.845Z,"NoNose,NoBody2",1,602,11182,1326,11680,1372,2402
2023-12-11T19:59:59.958Z,"NoNose,NoBody2",1,435,11110,1306,11684,1374,2399
2023-12-11T20:00:00.151Z,"NoNose,NoBody2",1,458,11203,1299,11676,1356,2393
2023-12-11T20:00:00.153Z,"NoNose,NoBody2",1,470,11174,1317,11648,1366,2392
2023-12-11T20:00:00.246Z,"NoNose,NoBody2",1,423,11184,1303,11661,1354,2378
2023-12-11T20:00:00.339Z,"NoNose,NoBody2",1,429,11204,1296,11673,1382,2401
2023-12-11T20:00:00.442Z,"NoNose,NoBody2",1,472,11397,1309,11667,1363,2398
2023-12-11T20:00:00.545Z,"NoNose,NoBody2",1,424,11203,1298,11689,1364,2393
2023-12-11T20:00:00.645Z,"NoNose,NoBody2",1,529,11288,1314,11753,1354,2390
2023-12-11T20:00:00.739Z,"NoNose,NoBody2",1,468,11241,1309,11743,1380,2411
2023-12-11T20:00:00.836Z,"NoNose,NoBody2",1,447,11250,1310,11723,1353,2394
2023-12-11T20:00:00.947Z,"NoNose,NoBody2",1,454,11185,1309,11672,1387,2414
2023-12-11T20:00:01.177Z,"NoNose,NoBody2",1,460,11220,1313,11694,1362,2395
2023-12-11T20:00:01.178Z,"NoNose,NoBody2",1,487,11251,1320,11718,1361,2394
2023-12-11T20:00:01.251Z,"NoNose,NoBody2",1,441,11255,1298,11727,1376,2401
2023-12-11T20:00:01.347Z,"NoNose,NoBody2",1,447,11241,1302,11708,1375,2395
