_time,Description,CycleState,I_R01_Gripper_Load,I_R01_Gripper_Pot,I_R02_Gripper_Load,I_R02_Gripper_Pot,I_R03_Gripper_Load,I_R03_Gripper_Pot
2023-12-11T19:59:56.545Z,"NoNose,NoBody2",1,281,11239,1321,11701,1395,2400
2023-12-11T19:59:56.637Z,"NoNose,NoBody2",1,461,11197,1317,11687,1364,2402
2023-12-11T19:59:56.755Z,"NoNose,NoBody2",1,437,11188,1310,11699,1359,2403
2023-12-11T19:59:57.014Z,"NoNose,NoBody2",1,405,11219,1300,11677,1375,2401
2023-12-11T19:59:57.015Z,"NoNose,NoBody2",1,429,11167,1305,11719,1376,2394
2023-12-11T19:59:57.212Z,"NoNose,NoBody2",1,481,11251,1334,11695,1379,2401
2023-12-11T19:59:57.213Z,"NoNose,NoBody2",1,480,11229,1311,11715,1375,2406
2023-12-11T19:59:57.240Z,"NoNose,NoBody2",1,443,11205,1332,11691,1363,2404
2023-12-11T19:59:57.343Z,"NoNose,NoBody2",1,458,11233,1313,11676,1358,2400
2023-12-11T19:59:57.454Z,"NoNose,NoBody2",1,438,11297,1297,11701,1355,2407
2023-12-11T19:59:57.549Z,"NoNose,NoBody2",1,423,11163,1306,11678,1374,2410
2023-12-11T19:59:57.660Z,"NoNose,NoBody2",1,456,11244,1313,11650,1358,2392
2023-12-11T19:59:57.753Z,"NoNose,NoBody2",1,460,11221,1280,11715,1386,2412
2023-12-11T19:59:57.858Z,"NoNose,NoBody2",1,436,11291,1331,11718,1378,2414
2023-12-11T19:59:57.957Z,"NoNose,NoBody2",1,465,11213,1310,11680,1380,2400
2023-12-11T19:59:58.198Z,"NoNose,NoBody2",1,445,11257,1308,11692,1380,2402
2023-12-11T19:59:58.199Z,"NoNose,NoBody2",1,484,11260,1304,11726,1357,2411
2023-12-11T19:59:58.251Z,"NoNose,NoBody2",1,397,11228,1285,11695,1370,2405
2023-12-11T19:59:58.343Z,"NoNose,NoBody2",1,444,11254,1327,11645,1379,2397
2023-12-11T19:59:58.444Z,"NoNose,NoBody2",1,416,11264,1317,11671,1367,2395
2023-12-11T19:59:58.547Z,"NoNose,NoBody2",1,454,11215,1303,11731,1373,2404
2023-12-11T19:59:58.636Z,"NoNose,NoBody2",1,471,11280,1303,11717,1387,2408
2023-12-11T19:59:58.742Z,"NoNose,NoBody2",1,439,11262,1301,11674,1339,2396
2023-12-11T19:59:58.873Z,"NoNose,NoBody2",1,443,11243,1314,11692,1384,2404
2023-12-11T19:59:58.962Z,"NoNose,NoBody2",1,370,11460,1294,11706,1373,2411
2023-12-11T19:59:59.223Z,"NoNose,NoBody2",1,482,11283,1327,11676,1361,2405
2023-12-11T19:59:59.225Z,"NoNose,NoBody2",1,451,11176,1318,11725,1384,2412
2023-12-11T19:59:59.238Z,"NoNose,NoBody2",1,435,11183,1305,11703,1380,2403
2023-12-11T19:59:59.349Z,"NoNose,NoBody2",1,456,11194,1313,11673,1363,2395
2023-12-11T19:59:59.460Z,"NoNose,NoBody2",1,447,11245,1286,11717,1365,2409
2023-12-11T19:59:59.551Z,"NoNose,NoBody2",1,462,11195,1297,11643,1363,2396
2023-12-11T19:59:59.645Z,"NoNose,NoBody2",1,440,11254,1314,11707,1375,2405
2023-12-11T19:59:59.753Z,"NoNose,NoBody2",1,462,11242,1314,11635,1365,2393
2023-12-11T19:59:59.845Z,"NoNose,NoBody2",1,602,11182,1326,11626,1372,2394
2023-12-11T19:59:59.958Z,"NoNose,NoBody2",1,435,11110,1306,11724,1374,2404
2023-12-11T20:00:00.151Z,"NoNose,NoBody2",1,458,11203,1299,11656,1356,2403
2023-12-11T20:00:00.153Z,"NoNose,NoBody2",1,470,11174,1317,11719,1366,2398
2023-12-11T20:00:00.246Z,"NoNose,NoBody2",1,423,11184,1303,11715,1354,2399
2023-12-11T20:00:00.339Z,"NoNose,NoBody2",1,429,11204,1296,11641,1382,2392
2023-12-11T20:00:00.442Z,"NoNose,NoBody2",1,472,11397,1309,11866,1363,2407
2023-12-11T20:00:00.545Z,"NoNose,NoBody2",1,424,11203,1298,11678,1364,2394
2023-12-11T20:00:00.645Z,"NoNose,NoBody2",1,529,11288,1314,11675,1354,2396
2023-12-11T20:00:00.739Z,"NoNose,NoBody2",1,468,11241,1309,11672,1380,2405
2023-12-11T20:00:00.836Z,"NoNose,NoBody2",1,447,11250,1310,11657,1353,2398
2023-12-11T20:00:00.947Z,"NoNose,NoBody2",1,454,11185,1309,11694,1387,2405
2023-12-11T20:00:01.177Z,"NoNose,NoBody2",1,460,11220,1313,11697,1362,2412
2023-12-11T20:00:01.178Z,"NoNose,NoBody2",1,487,11251,1320,11707,1361,2400
2023-12-11T20:00:01.251Z,"NoNose,NoBody2",1,441,11255,1298,11675,1376,2409
2023-12-11T20:00:01.347Z,"NoNose,NoBody2",1,447,11241,1302,11686,1375,2394
2023-12-11T20:00:01.442Z,"NoNose,NoBody2",1,481,11234,1337,11647,1375,2399
2023-12-11T20:00:01.536Z,"NoNose,NoBody2",1,439,10814,1298,11665,1371,2396
2023-12-11T20:00:01.661Z,"NoNose,NoBody2",1,467,5261,1329,11671,1368,2393
2023-12-11T20:00:01.743Z,"NoNose,NoBody2",1,430,5236,1311,11628,1381,2385
2023-12-11T20:00:01.849Z,"NoNose,NoBody2",1,474,5261,1307,11643,1360,2391
2023-12-11T20:00:01.952Z,"NoNose,NoBody2",1,278,5199,1289,11705,1373,2403
2023-12-11T20:00:02.158Z,"NoNose,NoBody2",1,442,5246,1294,11614,1395,2393
2023-12-11T20:00:02.160Z,"NoNose,NoBody2",1,452,5288,1318,11706,1379,2411
2023-12-11T20:00:02.251Z,"NoNose,NoBody2",1,246,4913,1332,11716,1362,2409
2023-12-11T20:00:02.354Z,"NoNose,NoBody2",1,457,5240,1302,11660,1376,2412
2023-12-11T20:00:02.442Z,"NoNose,NoBody2",1,474,5281,1337,11705,1396,2408
2023-12-11T20:00:02.553Z,"NoNose,NoBody2",1,469,5265,1314,11670,1389,2398
2023-12-11T20:00:02.651Z,"NoNose,NoBody2",1,445,5237,1294,11701,1356,2404
2023-12-11T20:00:02.746Z,"NoNose,NoBody2",1,501,5270,1342,11665,1370,2404
2023-12-11T20:00:02.840Z,"NoNose,NoBody2",1,471,5266,1317,11718,1362,2408
2023-12-11T20:00:02.938Z,"NoNose,NoBody2",1,458,5233,1318,11637,1367,2399
2023-12-11T20:00:03.156Z,"NoNose,NoBody2",1,456,5287,1327,11638,1352,2396
2023-12-11T20:00:03.158Z,"NoNose,NoBody2",1,450,5393,1303,11749,1367,2403
2023-12-11T20:00:03.316Z,"NoNose,NoBody2",1,459,5269,1317,11653,1378,2400
2023-12-11T20:00:03.362Z,"NoNose,NoBody2",1,454,5274,1314,11717,1360,2407
2023-12-11T20:00:03.437Z,"NoNose,NoBody2",1,179,5131,1332,11671,1362,2403
2023-12-11T20:00:03.536Z,"NoNose,NoBody2",1,409,5221,1288,11666,1366,2401
2023-12-11T20:00:03.650Z,"NoNose,NoBody2",1,474,5253,1316,11697,1368,2405
2023-12-11T20:00:03.744Z,"NoNose,NoBody2",1,445,5262,1302,11612,1379,2397
2023-12-11T20:00:03.845Z,"NoNose,NoBody2",1,495,5196,1329,11653,1374,2400
2023-12-11T20:00:03.959Z,"NoNose,NoBody2",1,464,5263,1323,11725,1375,2404
2023-12-11T20:00:04.241Z,"NoNose,NoBody2",1,363,5359,1327,11658,1364,2398
2023-12-11T20:00:04.243Z,"NoNose,NoBody2",1,467,5268,1331,11649,1372,2398
2023-12-11T20:00:04.247Z,"NoNose,NoBody2",1,473,5264,1319,11650,1378,2392
2023-12-11T20:00:04.346Z,"NoNose,NoBody2",1,411,5691,1315,11644,1379,2394
2023-12-11T20:00:04.456Z,"NoNose,NoBody2",1,451,5308,1305,11657,1384,2395
2023-12-11T20:00:04.557Z,"NoNose,NoBody2",1,484,5281,1300,11681,1380,2402
2023-12-11T20:00:04.646Z,"NoNose,NoBody2",1,450,5201,1283,11647,1365,2398
2023-12-11T20:00:04.752Z,"NoNose,NoBody2",1,447,5263,1301,11641,1360,2393
2023-12-11T20:00:04.850Z,"NoNose,NoBody2",2,520,5335,1337,11718,1364,2402
2023-12-11T20:00:04.945Z,"NoNose,NoBody2",2,446,5240,1283,11728,1373,2405
2023-12-11T20:00:05.189Z,"NoNose,NoBody2",2,455,5227,1307,11665,1367,2405
2023-12-11T20:00:05.190Z,"NoNose,NoBody2",2,478,5276,1319,11651,1357,2388
2023-12-11T20:00:05.244Z,"NoNose,NoBody2",2,326,5313,1317,11737,1379,2397
2023-12-11T20:00:05.339Z,"NoNose,NoBody2",2,466,5264,1318,11696,1378,2406
2023-12-11T20:00:05.452Z,"NoNose,NoBody2",2,462,5245,1322,11693,1380,2403
2023-12-11T20:00:05.542Z,"NoNose,NoBody2",2,466,5264,1317,11696,1359,2398
2023-12-11T20:00:05.638Z,"NoNose,NoBody2",2,456,5277,1314,11648,1380,2417
2023-12-11T20:00:05.736Z,"NoNose,NoBody2",2,407,4927,1333,11632,1367,2406
2023-12-11T20:00:05.834Z,"NoNose,NoBody2",2,435,5250,1314,11656,1365,2398
2023-12-11T20:00:05.936Z,"NoNose,NoBody2",2,479,5295,1331,11649,1360,2400
2023-12-11T20:00:06.170Z,"NoNose,NoBody2",2,468,5265,1309,11714,1376,2401
2023-12-11T20:00:06.172Z,"NoNose,NoBody2",2,420,5070,1326,11630,1387,2390
2023-12-11T20:00:06.244Z,"NoNose,NoBody2",2,445,5247,1296,11698,1374,2405
2023-12-11T20:00:06.345Z,"NoNose,NoBody2",2,436,5243,1322,11681,1381,2400
2023-12-11T20:00:06.442Z,"NoNose,NoBody2",2,353,5112,1301,11643,1387,2395
2023-12-11T20:00:06.555Z,"NoNose,NoBody2",2,524,5222,1317,11616,1376,2394
2023-12-11T20:00:06.646Z,"NoNose,NoBody2",2,472,5289,1319,11665,1374,2402
2023-12-11T20:00:06.747Z,"NoNose,NoBody2",2,458,5233,1316,11653,1385,2399
2023-12-11T20:00:07.026Z,"NoNose,NoBody2",2,400,5104,1310,11687,1363,2409
2023-12-11T20:00:07.027Z,"NoNose,NoBody2",2,466,5236,1317,11686,1381,2405
2023-12-11T20:00:07.243Z,"NoNose,NoBody2",2,435,5517,1326,11677,1355,2400
2023-12-11T20:00:07.245Z,"NoNose,NoBody2",2,422,5218,1289,11656,1361,2400
2023-12-11T20:00:07.249Z,"NoNose,NoBody2",2,345,4850,1296,11634,1372,2395
2023-12-11T20:00:07.337Z,"NoNose,NoBody2",2,458,5221,1314,11672,1370,2403
2023-12-11T20:00:07.437Z,"NoNose,NoBody2",2,402,5611,1331,11616,1374,2400
2023-12-11T20:00:07.538Z,"NoNose,NoBody2",2,463,5216,1330,11630,1382,2400
2023-12-11T20:00:07.644Z,"NoNose,NoBody2",2,443,5228,1313,11723,1374,2414
2023-12-11T20:00:07.743Z,"NoNose,NoBody2",2,445,5226,1307,11639,1381,2393
2023-12-11T20:00:07.844Z,"NoNose,NoBody2",2,433,5227,1312,11684,1362,2402
2023-12-11T20:00:07.953Z,"NoNose,NoBody2",2,441,5231,1304,11664,1364,2405
2023-12-11T20:00:08.159Z,"NoNose,NoBody2",2,408,4768,1291,11707,1376,2400
2023-12-11T20:00:08.161Z,"NoNose,NoBody2",2,449,5244,1303,11645,1384,2397
2023-12-11T20:00:08.239Z,"NoNose,NoBody2",2,467,5227,1304,11654,1355,2398
2023-12-11T20:00:08.352Z,"NoNose,NoBody2",2,430,5222,1300,11688,1360,2411
2023-12-11T20:00:08.451Z,"NoNose,NoBody2",2,510,5307,1307,11711,1353,2409
2023-12-11T20:00:08.544Z,"NoNose,NoBody2",2,483,5200,1276,11672,1363,2401
2023-12-11T20:00:08.642Z,"NoNose,NoBody2",2,421,5198,1296,11719,1368,2410
2023-12-11T20:00:08.751Z,"NoNose,NoBody2",2,477,5272,1317,11628,1373,2396
2023-12-11T20:00:08.856Z,"NoNose,NoBody2",2,467,5242,1313,11671,1381,2403
2023-12-11T20:00:08.953Z,"NoNose,NoBody2",2,465,5251,1332,11726,1379,2398
