cycle_state,I_R01_Gripper_Pot,I_R01_Gripper_Load,I_R02_Gripper_Pot,I_R02_Gripper_Load,I_R03_Gripper_Pot,I_R03_Gripper_Load,I_R04_Gripper_Pot,I_R04_Gripper_Load
1,4500 - 12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,12000-13000,N/A
2,4500-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,12000-13000,N/A
3,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,12000-13000,N/A
4,11000-12000,0 - 1000,6400-12000,1200-1400,2200-2500,1300-1450,12000-13000,N/A
5,11000-12000,0 - 1000,6000-12000,1200-1400,2200-2500,1300-1450,12000-13000,N/A
6,11000-12000,0 - 1000,6000-12000,1200-1400,2200-2500,1300-1450,12000-13000,N/A
7,11000-12000,0 - 1000,6000-12000,1200-1400,2200-2500,1300-1450,12000-13000,N/A
8,11000-12000,0 - 1000,6000-12000,1200-1400,2200-13000,1300-11000,12000-13000,N/A
9,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,8000-13600,N/A
10,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,7100-13600,N/A
11,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,7100-13600,N/A
12,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,7100-13600,N/A
13,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,11400-13300,N/A
14,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,11300-13300,N/A
15,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,7800-13600,N/A
16,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,7800-13600,N/A
17,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,11100-13600,N/A
18,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,11100-13600,N/A
19,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,11200-13600,N/A
20,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,11200-13200,N/A
21,11000-12000,0 - 1000,11500 - 12000,1200-1400,2200-2500,1300-1450,12200-13300,N/A
